what to search,how to search,where to search,what it Indicates,notes,regex matches,value
journal homepage,string,file,publisher pdf,from: https://dev.openaccessbutton.org/static/test-manuscripts/McGibbon_et_al_-_JAMDA_2019_-_An_Analysis_of_Falls_and_Those_who_Fall_in_a_Chronic_Care_Facility..pdf,,
"Journal Name, [year], [vol.]",string,file,postprint,from: https://zenodo.org/record/3719325#.XnTZP9OeTOQ,,
"((?:\+|00)[17](?: |\-)?|(?:\+|00)[1-9]\d{0,2}(?: |\-)?|(?:\+|00)1\-\d{3}(?: |\-)?)?(0\d|\([0-9]{3}\)|[1-9]{0,3})(?:((?: |\-)[0-9]{2}){4}|((?:[0-9]{2}){4})|((?: |\-)[0-9]{3}(?: |\-)[0-9]{4})|([0-9]{7}))",string,file,postprint,from: https://www.regextester.com/1978. phone numbers are a good symbol,,
Title ? ?:,regex,file,postprint,from: https://zenodo.org/record/3364155/files/McCulloch_and_Loeser_2.10.15_Does_sup_training_work_HERD_Full_as_accepted.pdf,,
Phone ? ?:,regex,file,postprint,from: https://zenodo.org/record/3364155/files/McCulloch_and_Loeser_2.10.15_Does_sup_training_work_HERD_Full_as_accepted.pdf,,
Telephone ? ?:,regex,file,postprint,from: https://zenodo.org/record/3364155/files/McCulloch_and_Loeser_2.10.15_Does_sup_training_work_HERD_Full_as_accepted.pdf,,
Tel ? ?:,regex,file,postprint,from: https://zenodo.org//record/3350948/files/Full_paper_v2_submit_to_open_access_button.pdf,,
Fax ? ?:,regex,file,postprint,from: andre,,
running head ? ?:,regex,file,postprint,from: https://zenodo.org/record/3742454 & https://zenodo.org/record/3742273,,
Author's personal copy,string,file,publisher pdf,from: Review Deposit 10.1007/s00419-016-1222-9,,
Your article is protected by copyright and all rights are held exclusively by,string,file,publisher pdf,from: Review Deposit 10.1007/s00419-016-1222-9,,
offprint is for personal use only,string,file,publisher pdf,from: Review Deposit 10.1007/s00419-016-1222-9,,
"If you wish to self-archive your article, please use the accepted manuscript version",string,file,publisher pdf,from: Review Deposit 10.1007/s00419-016-1222-9,,
shall not be self-archived in electronic repositories,string,file,publisher pdf,from: Review Deposit 10.1007/s00419-016-1222-9,,
author query form,string,file,publisher pdf,from: Deposit Requires Checking: 10.1002/ajim.23076. Really for proofs.,,
Proof.pdf,string,title,publisher pdf,from: Deposit Requires Checking: 10.1002/ajim.23076. Really for proofs.,,
query reference,string,file,publisher pdf,from: Deposit Requires Checking: 10.1002/ajim.23076. Really for proofs.,,
query reviewed,string,file,publisher pdf,from: Deposit Requires Checking: 10.1002/ajim.23076. Really for proofs.,,
"During the copy-editing of your paper, the following queries arose",string,file,publisher pdf,from: Deposit Requires Checking: 10.1002/ajim.23076. Really for proofs.,,
Funding Info Query Form,string,file,publisher pdf,from: Deposit Requires Checking: 10.1002/ajim.23076. Really for proofs.,,
Word count,string,file,postprint,"from: ""Word counts as AAM signal""",,
Wordcount,string,file,postprint,"from: ""Word counts as AAM signal""",,
Number of words (abstract) ? ?:,regex,file,postprint,from: Successful Deposit: 10.1016/j.parkreldis.2019.07.030,,
Number of words (text) ? ?:,regex,file,postprint,from: Successful Deposit: 10.1016/j.parkreldis.2019.07.030,,
Number of Tables ? ?:,regex,file,postprint,from: Successful Deposit: 10.1016/j.parkreldis.2019.07.030,,
Number of Videos ? ?:,regex,file,postprint,from: Successful Deposit: 10.1016/j.parkreldis.2019.07.030,,
Number of Figures ? ?:,regex,file,postprint,from: Successful Deposit: 10.1016/j.parkreldis.2019.07.030,,
References ? ?:,regex,file,postprint,from: Successful Deposit: 10.1016/j.parkreldis.2019.07.030,,
XX (YYYY) pp-pp,string,file,postprint,from: Successful Deposit: 10.1016/j.jrurstud.2018.10.001,,
(YYYY),string,file,postprint,from: Successful Deposit: 10.1016/j.jrurstud.2018.10.001,,
pp-pp,string,file,postprint,from: Successful Deposit: 10.1016/j.jrurstud.2018.10.001,,
REV.pdf,string,title,postprint,from: Review Deposit 10.1002/mds.27531,,
Title character count ? ?:,string,file,postprint,from: Successful Deposit: 10.1016/j.parkreldis.2019.02.009,,
unedited author’s version of a submitted Work,string,file,preprint,from: Review Deposit 10.1021/acschembio.1c00498,,
running title ? ?:,string,file,postprint,from: Deposit Requires Checking: 10.1111/faf.12625,,
